player1		player2		rounds		winner

vs. random eating robot

51			0			69			1
67			0			54			1	
22			0			69			1
77			-15			54			1
0			1 			83			2
56			-4			148			1
79			0			54			1
0			65			109			2
68			-3			27			1
39			0			54			1
43			0			54			1
14 			-9			93			1
0			34			65			2
0			18 			156			2
128			0			69			1

with mod spiral vs. random eating robot

73			0			39			1
0			19 			80			2
22			0			54			1
0 			22			77			2
13			-7 			76			1
51			0			39			1
12 			0			84			1
0			20			139			2
44			0			69			1
0			28			131			2
14 			-6 			60			1
0			27			297			2
49			0			40			1
0			126			199			2
26			0			70			1
0			93			67			2
64			-3 			43			1
45			-3 			58			1

vs. no eating robot

10 			0			100			1
0			1 			99			2
11 			0			100			1
39			0			100			1
44			0			100			1	
4 			0			100			1
123			0			100			1

with mod spiral vs. no eating robot
